"","GSM4106225_1","GSM4106226_2","GSM4106227_3","GSM4106228_4","GSM4106229_5","GSM4106230_6","GSM4106231_7","GSM4106232_8","GSM4106233_9"
"17379949",6.15797938134928,6.03009419434049,5.50590367843999,6.65529074864527,5.69091834209062,5.81105396589417,6.17279689706411,5.69091834209062,5.99160242288096
"17430809",6.40496487885726,7.95150722524555,7.79461851692468,6.45567693816135,8.13697849838724,7.89731744421984,6.75540835351487,7.90822183148402,7.68372385818622
"17442942",2.47862967664231,2.56149933270395,2.86726611411374,2.56655944625248,2.93628490820486,2.62950091534649,4.28940398448228,3.21111159334866,2.99550024572765
"17413747",6.46514051284001,5.72459550096519,5.52341947535127,6.55026178215147,5.5575383859669,5.27939032417365,6.0638438414131,5.11037738476167,5.53725277108068
"17323038",4.11891194610507,4.24919175193227,4.46167617506389,3.82576173619278,4.07573133265037,4.3651540941577,3.7904899559525,4.31864330774292,4.12823884448056
"17366938",3.30367461262495,3.47869946892089,3.3980472748663,3.62437494064199,3.69952511867771,3.08267669675882,3.24140002815363,3.17429196913016,3.09903963657016
"17366932",6.2173037051102,5.96425488362617,6.15871892793671,7.00796791765227,6.40616914605161,6.50080931550268,6.60344141049345,6.76361092429461,6.15669430935236
"17366886",7.10579986849605,7.92881596127975,7.48350826142468,7.44614674287373,6.7588252610773,6.79836586699338,7.34839044925444,6.62342451020727,6.66489883670663
"17301245",5.54329523228255,5.30922930999015,5.54329523228255,5.88823720779935,5.82911882812739,6.13180612719189,5.57871305822411,5.36032190158269,5.54329523228255
"17344536",5.82629643745921,5.63702377188735,5.37076484534123,5.78778014110587,5.41655715513118,5.20428769637062,5.75294443694157,5.82629643745921,5.48342995938192
"17366918",6.72368020363029,6.57274926978045,6.45797303911012,6.45797303911012,5.91778344628365,6.20320090201574,6.60863783748381,6.32985198967214,6.17804323396559
"17278876",5.4028111222074,5.35472498720138,5.45615973497624,4.80101707030818,4.9124875628631,4.75044882046242,5.67511528642768,4.79025769097172,4.86602932121813
"17366740",8.01855426299413,8.54166166121965,8.23984549441663,8.42982824582807,7.90465579135833,8.13023113186566,8.59935773819581,8.07637558927861,7.98430627955704
"17293083",6.3374317219802,6.29893058983802,6.1004344054207,6.42425384068515,5.87292676604183,6.2993546888777,6.31333657175973,5.74442662232448,5.86997093020226
"17543813",2.12650918089173,2.06182784081377,2.9321316575192,3.3492267134571,2.33025739068695,2.28724620241344,2.88754139614851,2.58642411388674,2.09944433402248
"17457691",8.39269583948483,8.42622154003776,8.51990941830856,8.396520932452,8.0824827980798,8.09698703942245,8.37361878977253,8.77182254964477,8.69203158427247
"17392805",3.39401424663408,3.13895617088865,2.64915317104363,2.75219609234422,3.05413472247746,2.63999044550338,3.01333702189223,2.94141872692506,2.95953775819229
"17430835",6.64957583822147,6.04607667606919,6.09967411509187,6.41408193047251,6.48282094220652,6.20156075054051,6.62688692764814,6.06958669918725,6.37227322050853
"17296802",3.21632373236038,3.47079537034154,3.31743052926428,3.02522617728664,3.7600777350378,2.83487873483284,3.15640463182219,3.95880789223763,3.1631509068468
"17346510",6.71829562620092,6.32031237300706,6.65261453098919,6.71759524195129,5.62685086667883,6.23015216995837,6.49115862955033,6.12592715376873,6.64930768916643
"17426277",10.969523604465,10.199251884548,10.4156942123334,10.8787698341278,10.2730434841679,10.5180206899574,10.7995478484466,10.5981500894597,10.4959005559028
"17433251",8.11971101114055,6.75000137294523,7.24743611188084,7.96342729587495,6.8881204844013,7.06262797979101,7.63287021290041,6.69440687034928,7.01092789929782
